id,overall_rank,score,GDP_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,perceptions_of_corruption,generosity,year_id,country_id
849,95,5.088399887084961,0.6795001029968262,0.5951294302940369,0.2868667244911194,0.5168581008911133,0.058129776269197464,0.268442839384079,6,119
850,111,4.872000217437744,1.1115119457244873,0.5949505567550659,0.4088703691959381,0.4995107352733612,0.05557966232299805,0.2295379787683487,7,119
851,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,0,120
852,131,4.193,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,1,120
853,138,3.875,0.375846534967422,1.08309590816498,0.196763753890991,0.336384207010269,0.0953753814101219,0.189143493771553,2,120
854,144,3.692,0.357,1.094,0.248,0.406,0.099,0.132,3,120
855,146,3.663,0.366,1.114,0.433,0.361,0.089,0.151,4,120
856,151,3.2992000579833984,0.4255640208721161,1.0478352308273315,0.37503761053085327,0.37740471959114075,0.08092857897281647,0.15134918689727783,5,120
857,148,3.1447999477386475,0.4567241668701172,0.6485522985458374,0.24323031306266785,0.3589070439338684,0.07547120004892349,0.15708784759044647,6,120
858,144,2.9951000213623047,0.9466041326522827,0.6904597878456116,0.2700861990451813,0.32920336723327637,0.10494278371334076,0.10626501590013504,7,120
859,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,0,121
860,150,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,1,121
861,148,3.53299999237061,0.119041793048382,0.872117936611176,0.229918196797371,0.332881182432175,0.0389482490718365,0.26654988527298,2,121
862,149,3.495,0.076,0.858,0.267,0.419,0.03,0.206,3,121
863,141,3.975,0.073,0.922,0.443,0.37,0.033,0.233,4,121
864,124,4.5578999519348145,0.1741030067205429,0.9207339286804199,0.3922842741012573,0.4059430956840515,0.05113987624645233,0.22696787118911743,5,121
865,120,4.625199794769287,0.22792436182498932,0.5801512002944946,0.2525760531425476,0.4301750063896179,0.05704052373766899,0.22074152529239655,6,121
866,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,0,154
867,118,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,1,154
868,122,4.31500005722046,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.0922268852591515,0.231538489460945,2,154
869,133,4.19,0.721,0.747,0.485,0.539,0.093,0.172,3,154
870,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2,4,154
871,144,3.5732998847961426,0.7305761575698853,0.6441986560821533,0.5405701398849487,0.581142246723175,0.10558798164129257,0.23707248270511627,5,154
872,139,3.8189001083374023,0.7406192421913147,0.31622985005378723,0.38282087445259094,0.6222656965255737,0.10562895238399506,0.24624469876289368,6,154
873,136,3.777100086212158,1.16701340675354,0.3755294382572174,0.47140491008758545,0.6471344828605652,0.12331824749708176,0.19789443910121918,7,154
874,118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,0,122
875,133,4.139,0.63069,0.81928,0.29759,0.0,0.10039,0.18077,1,122
876,130,4.13899993896484,0.65951669216156,1.21400856971741,0.290920823812485,0.0149958552792668,0.089847519993782,0.182317450642586,2,122
877,137,4.139,0.605,1.24,0.312,0.016,0.082,0.134,3,122
878,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,0,66
879,136,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,1,66
880,145,3.6029999256134,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,0.0998721495270729,0.489203780889511,2,66
881,148,3.582,0.315,0.714,0.289,0.025,0.104,0.392,3,66
882,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419,4,66
883,142,3.7207999229431152,0.28473442792892456,0.6466713547706604,0.37436673045158386,0.16929751634597778,0.16193567216396332,0.46390965580940247,5,66
884,143,3.6149001121520996,0.2941065728664398,0.17326688766479492,0.22745640575885773,0.2574906051158905,0.13921146094799042,0.4629477262496948,6,66
885,120,4.517,0.0,1.2012,0.09806,0.22605,0.07625,0.24834,0,123
886,125,4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,1,123
887,126,4.28000020980835,0.0921023488044739,1.22902345657349,0.191407024860382,0.235961347818375,0.0602413564920425,0.246455833315849,2,123
888,132,4.245,0.069,1.136,0.204,0.312,0.052,0.197,3,123
889,127,4.418,0.094,1.125,0.357,0.269,0.053,0.212,4,123
890,131,4.310999870300293,0.062487468123435974,0.8330550193786621,0.2772120535373688,0.36462298035621643,0.08146664500236511,0.25432488322257996,5,123
891,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,0,155
892,107,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,1,155
893,99,4.96199989318848,0.479820191860199,1.17928326129913,0.504130780696869,0.440305948257446,0.0729755461215973,0.394096165895462,2,155
894,101,4.88,0.425,1.228,0.539,0.526,0.078,0.302,3,155
895,100,4.913,0.446,1.226,0.677,0.439,0.089,0.285,4,155
896,92,5.137199878692627,0.4440503716468811,1.1007893085479736,0.6688793897628784,0.4806082546710968,0.12750296294689178,0.3009718060493469,5,155
897,87,5.268899917602539,0.5187152028083801,0.7024221420288086,0.4961959719657898,0.4876171052455902,0.13509976863861084,0.28713729977607727,6,155
898,84,5.376500129699707,0.9844930171966553,0.7837649583816528,0.49922800064086914,0.5185115337371826,0.12980405986309052,0.23675592243671417,7,155
899,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,0,124
900,115,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,1,124
901,119,4.46000003814697,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.165455713868141,0.312650740146637,2,124
902,127,4.35,0.308,0.95,0.391,0.452,0.146,0.22,3,124
903,134,4.286,0.336,1.033,0.532,0.344,0.1,0.209,4,124
904,136,4.186200141906738,0.31512564420700073,1.0011032819747925,0.4838462471961975,0.4125668704509735,0.11743703484535217,0.22769810259342194,5,124
905,133,4.274700164794922,0.369729608297348,0.6788085699081421,0.33137476444244385,0.4506741464138031,0.11403144150972366,0.2414661943912506,6,124
906,131,4.241499900817871,0.7880569100379944,0.8089874386787415,0.45651620626449585,0.47245100140571594,0.13582712411880493,0.20460015535354614,7,124
907,123,4.507,0.33024,0.95571,0.0,0.4084,0.08786,0.21488,0,125
908,111,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897,1,125
909,106,4.70900011062622,0.36842092871666,0.984136044979095,0.00556475389748812,0.318697690963745,0.0710951760411263,0.293040901422501,2,125
910,113,4.571,0.256,0.813,0.0,0.355,0.053,0.238,3,125
911,129,4.374,0.268,0.841,0.242,0.309,0.045,0.252,4,125
912,139,3.9263999462127686,0.240560382604599,0.7479849457740784,0.20395396649837494,0.38202768564224243,0.0479409359395504,0.25764700770378113,5,125
913,138,3.849400043487549,0.2789907157421112,0.37712398171424866,0.099918894469738,0.40816107392311096,0.04652806371450424,0.2427666187286377,6,125
914,140,3.5739998817443848,0.6857039332389832,0.41605404019355774,0.27284371852874756,0.38702869415283203,0.05450144037604332,0.20228055119514465,7,125
915,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,0,126
916,130,4.201,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1,126
917,123,4.29199981689453,0.648457288742065,1.2720308303833,0.285349279642105,0.0960980430245399,0.136957004666328,0.201870024204254,2,126
918,126,4.356,0.557,1.245,0.292,0.129,0.093,0.134,3,126
919,122,4.49,0.57,1.167,0.489,0.066,0.088,0.106,4,126
920,129,4.374599933624268,0.5396848917007446,1.1133235692977905,0.42518481612205505,0.1857144832611084,0.12225763499736786,0.12889966368675232,5,126
921,134,4.227399826049805,0.6660717129707336,0.7487669587135315,0.27345725893974304,0.21839287877082825,0.13292106986045837,0.11856285482645035,6,126
922,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,0,127
923,122,4.356,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1,127
924,112,4.55299997329712,0.560479462146759,1.06795072555542,0.309988349676132,0.452763766050339,0.0646413192152977,0.444860309362411,2,127
925,124,4.41,0.493,1.048,0.454,0.504,0.055,0.352,3,127
926,121,4.509,0.512,0.983,0.581,0.431,0.053,0.372,4,127
927,121,4.583000183105469,0.47641339898109436,0.9050777554512024,0.5363127589225769,0.5191805362701416,0.06720107793807983,0.39390209317207336,5,127
928,121,4.606599807739258,0.6028255224227905,0.5079625248908997,0.3850586712360382,0.48283469676971436,0.07263338565826416,0.3751075863838196,6,127
929,119,4.543000221252441,1.031548261642456,0.60507732629776,0.40100958943367004,0.43996813893318176,0.08215291798114777,0.3217529356479645,7,127
930,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,0,128
931,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,0,102
932,121,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1,102
933,121,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0266744215041399,0.0834880918264389,2,102
934,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077,3,102
935,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095,4,102
936,116,4.676799774169922,0.8082624077796936,1.0345768928527832,0.7758572697639465,0.37807580828666687,0.10461818426847458,0.10722573846578598,5,102
937,86,5.282599925994873,0.996425986289978,0.757972776889801,0.585085928440094,0.5397685170173645,0.19764414429664612,0.07861096411943436,6,102
938,82,5.398600101470947,1.4341225624084473,0.8199043869972229,0.6681329011917114,0.5576069951057434,0.20990130305290222,0.05449013039469719,7,102
939,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,0,129
940,137,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,1,129
941,142,3.76600003242493,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,0.0985831990838051,0.0993484482169151,2,129
942,146,3.59,1.017,1.174,0.417,0.557,0.092,0.042,3,129
943,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025,4,129
